Unnamed: 0,Mois,Demande totale de chaleur (MWh),Chauffage des locaux (MWh),Eau chaude sanitaire (MWh),Chaleur (centre énergétique) (MWh),Demande totale de froid (MWh),Refroidissement des locaux (MWh),Refroidissement de procédé (MWh),Refroidissement (centre énergétique) (MWh),Charges électriques (MWh),E-mobilité (MWh),Puissance de fonctionnement (MWh),Travail de pompe (MWh),Température de l'air (°C)
,"Ven, 06.04. 03:00",3219,3183.9,35.1,0,0,0,0,0,0,0,815.2,0,2.400000095367432
,"Ven, 06.04. 04:00",3142.9,3044.5,98.4,0,0,0,0,0,0,0,816.3,0,1.799999952316284
,"Ven, 06.04. 05:00",4480.2,4170.7,309.5,0,0,0,0,0,0,0,1181.9,0,1.700000047683716
,"Ven, 06.04. 06:00",5834.7,4968.2,866.5,0,0,0,0,0,0,0,1567.8,0,2.299999952316284
,"Ven, 06.04. 07:00",5443.6,4528.1,915.5,0,0,0,0,0,0,0,1409.4,0,4.400000095367432
,"Ven, 06.04. 08:00",3929.2,3196.9,732.3,0,0,0,0,0,0,0,950.7,0,7.400000095367432
,"Ven, 06.04. 09:00",3377.5,2727.1,650.4,0,0,0,0,0,0,0,759.5,0,9.899999618530273
,"Ven, 06.04. 10:00",2750.6,2152.7,597.9,0,0,0,0,0,0,0,577.8,0,12.39999961853027
,"Ven, 06.04. 11:00",2383.9,1813.9,570,0,0,0,0,0,0,0,484.3,0,13.89999961853027
,"Ven, 06.04. 12:00",2092.7,1523.1,569.6,0,0,0,0,0,0,0,396.3,0,16.60000038146973
,"Ven, 06.04. 13:00",1782,1309.6,472.4,0,0,0,0,0,0,0,318.4,0,18.60000038146973
,"Ven, 06.04. 14:00",1989.1,1475.5,513.6,0,0,0,0,0,0,0,351.4,0,19.39999961853027
,"Ven, 06.04. 15:00",1935.6,1463.2,472.4,0,0,0,0,0,0,0,341.2,0,18.29999923706055
,"Ven, 06.04. 16:00",1941.3,1459.8,481.5,0,0,0,0,0,0,0,345.8,0,17.60000038146973
,"Ven, 06.04. 17:00",2374,1708.4,665.6,0,0,0,0,0,0,0,457.6,0,16
,"Ven, 06.04. 18:00",3070.7,2332.8,737.9,0,0,0,0,0,0,0,642.1,0,12.69999980926514
,"Ven, 06.04. 19:00",3291.5,2391.3,900.2,0,0,0,0,0,0,0,702.9,0,12.60000038146973
,"Ven, 06.04. 20:00",3962.5,3003.7,958.8,0,0,0,0,0,0,0,895.7,0,10.10000038146973
,"Ven, 06.04. 21:00",4382.7,3433.1,949.6,0,0,0,0,0,0,0,1036.5,0,8
,"Ven, 06.04. 22:00",2647.3,2138.6,508.7,0,0,0,0,0,0,0,633.4,0,7.5
,"Ven, 06.04. 23:00",2574.3,2256.6,317.7,0,0,0,0,0,0,0,615.3,0,6.400000095367432
,"Sam, 07.04. 00:00",2107.9,1881.3,226.6,0,0,0,0,0,0,0,490.2,0,7
,"Sam, 07.04. 01:00",2158.4,2018.9,139.5,0,0,0,0,0,0,0,490.1,0,7
,"Sam, 07.04. 02:00",2188,2113.2,74.8,0,0,0,0,0,0,0,506.2,0,5.800000190734863
,"Sam, 07.04. 03:00",2311.4,2276.5,34.9,0,0,0,0,0,0,0,528.2,0,5.800000190734863
,"Sam, 07.04. 04:00",2598.9,2533.3,65.6,0,0,0,0,0,0,0,616.4,0,4.800000190734863
,"Sam, 07.04. 05:00",3660.5,3589.6,70.9,0,0,0,0,0,0,0,886.1,0,3.799999952316284
,"Sam, 07.04. 06:00",3781.5,3695,86.5,0,0,0,0,0,0,0,878.2,0,5
,"Sam, 07.04. 07:00",3342.1,3133.8,208.3,0,0,0,0,0,0,0,725.9,0,8.199999809265137
,"Sam, 07.04. 08:00",2750.7,2212.4,538.3,0,0,0,0,0,0,0,599.9,0,10.89999961853027
,"Sam, 07.04. 09:00",2675.7,1617.9,1057.8,0,0,0,0,0,0,0,613.3,0,13.19999980926514
,"Sam, 07.04. 10:00",2129.4,1057.8,1071.6,0,0,0,0,0,0,0,493.7,0,15
,"Sam, 07.04. 11:00",2139.4,1024.1,1115.3,0,0,0,0,0,0,0,458.1,0,18.10000038146973
,"Sam, 07.04. 12:00",2025.5,1003.2,1022.3,0,0,0,0,0,0,0,423.4,0,18.89999961853027
,"Sam, 07.04. 13:00",1855.7,1003.5,852.2,0,0,0,0,0,0,0,371.7,0,19.70000076293945
,"Sam, 07.04. 14:00",1684.3,944,740.3,0,0,0,0,0,0,0,342.6,0,18.10000038146973
,"Sam, 07.04. 15:00",1585.9,962.1,623.8,0,0,0,0,0,0,0,322.3,0,16.89999961853027
,"Sam, 07.04. 16:00",1696.4,1052.3,644.1,0,0,0,0,0,0,0,351.5,0,16
,"Sam, 07.04. 17:00",1875.5,1158.6,716.9,0,0,0,0,0,0,0,399.4,0,15.10000038146973
,"Sam, 07.04. 18:00",2240.5,1466.5,774,0,0,0,0,0,0,0,479,0,14.10000038146973
,"Sam, 07.04. 19:00",2461.5,1660.2,801.3,0,0,0,0,0,0,0,527.5,0,13.5
,"Sam, 07.04. 20:00",2755.1,1978.2,776.9,0,0,0,0,0,0,0,595,0,12.19999980926514
,"Sam, 07.04. 21:00",2467.3,1851.7,615.6,0,0,0,0,0,0,0,516.2,0,12.30000019073486
,"Sam, 07.04. 22:00",1564.7,1099.6,465.1,0,0,0,0,0,0,0,351.9,0,11.39999961853027
,"Sam, 07.04. 23:00",1553.5,1224.2,329.3,0,0,0,0,0,0,0,343.2,0,10.5
,"Dim, 08.04. 00:00",1438.6,1210.6,228,0,0,0,0,0,0,0,311.2,0,10.19999980926514
,"Dim, 08.04. 01:00",1401.6,1273.2,128.4,0,0,0,0,0,0,0,294.7,0,9.800000190734863
,"Dim, 08.04. 02:00",1568.3,1489.2,79.1,0,0,0,0,0,0,0,328,0,9.199999809265137
,"Dim, 08.04. 03:00",1484.3,1451.7,32.6,0,0,0,0,0,0,0,305,0,9.100000381469727
,"Dim, 08.04. 04:00",2094.2,2009.5,84.7,0,0,0,0,0,0,0,449.4,0,8.199999809265137
,"Dim, 08.04. 05:00",2721,2639.7,81.3,0,0,0,0,0,0,0,581.3,0,7.800000190734863
,"Dim, 08.04. 06:00",3373.3,3270.8,102.5,0,0,0,0,0,0,0,713.4,0,7.900000095367432
,"Dim, 08.04. 07:00",3187.7,2976.4,211.3,0,0,0,0,0,0,0,686.9,0,8.5
,"Dim, 08.04. 08:00",3228.7,2669.2,559.5,0,0,0,0,0,0,0,733,0,9.199999809265137
,"Dim, 08.04. 09:00",3184.4,2195.7,988.7,0,0,0,0,0,0,0,762.4,0,10
,"Dim, 08.04. 10:00",3047.2,1967.7,1079.5,0,0,0,0,0,0,0,728.5,0,10.89999961853027
,"Dim, 08.04. 11:00",2470.7,1395.9,1074.8,0,0,0,0,0,0,0,580,0,13.10000038146973
,"Dim, 08.04. 12:00",2275.7,1297.5,978.2,0,0,0,0,0,0,0,528,0,13.39999961853027
,"Dim, 08.04. 13:00",1855.1,1048.4,806.7,0,0,0,0,0,0,0,417.2,0,14.60000038146973
,"Dim, 08.04. 14:00",1578.4,896.3,682.1,0,0,0,0,0,0,0,349.8,0,15.10000038146973
,"Dim, 08.04. 15:00",1605.2,981.4,623.8,0,0,0,0,0,0,0,346.6,0,15
,"Dim, 08.04. 16:00",1811.3,1226.6,584.7,0,0,0,0,0,0,0,387.2,0,13.89999961853027
,"Dim, 08.04. 17:00",2107.5,1468.5,639,0,0,0,0,0,0,0,454.1,0,13.10000038146973
,"Dim, 08.04. 18:00",2691.2,1928.2,763,0,0,0,0,0,0,0,589.1,0,12.10000038146973
,"Dim, 08.04. 19:00",2538.1,1826.8,711.3,0,0,0,0,0,0,0,558,0,11.80000019073486
