scenario,saison,heure,bord,P_ac,Q_ac,Ppv,Ppv_max,Php,Php_min,Qpv,P_lin,Q_lin,pv0,pvmax,hp0,hpmin_n,invmax,invactive,vmin_lin,vmax_lin,line_idx,lineutil,vmin_ac,vmax_ac,line_ac,BP,BQ,BPmax,Butil
avec,Hiver,12,droite,11.759874219773337,2.5146345820085116,1.769957901018181e-10,6.3252927011747815,-2.795348865784219,-2.7953488659344856,1.2766230405493602,11.695819022564029,2.4455597631756905,42.0,0.0,0.0,41.0,0.28159656614341355,0.0,0.9400224512745936,1.0,21.0,0.5149606188265645,0.984805422041291,1.0,51.88728543622304,2.1721796656113615e-12,1.5444957988268757,4.862894736842104,0.1811445689982138
avec,Hiver,12,haut,6.2975379404379055,7.4200434340200445,5.125675012808573,6.3252927011747815,-2.353363896186919,-2.7953488659344856,-3.535036094910812,6.128158983709425,7.256380778165977,25.0,5.0,5.0,26.0,0.6502207941240251,0.0,0.9000000179336306,1.0325846125131461,75.0,0.7614058762697051,0.9801648967897335,1.0,76.81472562319689,4.862894204851048,-2.6623412516939795,4.862894736842104,0.6502207941240251
avec,Hiver,18,depart,12.322557858740765,3.807221233923883,0.0,0.0,-3.3498304576502247,-3.3498304576502247,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
avec,Hiver,18,gauche,8.915696579624637,3.079988481923465,0.0,0.0,-3.1827372259501187e-08,-3.3498304576502247,0.6613814333528084,8.900470041546539,3.058604207594428,0.0,0.0,41.0,0.0,0.28884084243808594,0.0,0.9018124322106342,1.0,24.0,0.4054413209276728,0.9848067020784336,1.0,40.69443802977404,0.0,0.6351966366458393,0.0,0.07449837096463546
avec,Hiver,18,bas,12.223454689352366,0.5595827969891616,0.0,0.0,-3.2339477192222192,-3.3498304576502247,3.255407072362754,12.134417906400936,0.46221733911524465,0.0,0.0,0.0,40.0,0.31224989951429516,0.0,0.9638259127646596,1.0999999999901413,21.0,0.5287994139550535,0.9889706341014411,1.0,53.32362899674577,0.0,2.38271222206676,0.0,0.27945390258807673
avec,Hiver,18,droite,12.334086302402284,1.5998381606841576,0.0,0.0,-3.349830418597139,-3.3498304576502247,2.209971382952999,12.250300575003793,1.5098086339182448,0.0,0.0,0.0,41.0,0.2763843084505749,0.0,0.9537684800318456,1.048869918369501,21.0,0.5320176371394032,0.9872260651497409,1.0,53.661595570860655,0.0,2.1535262178629577,0.0,0.2525740625888654
avec,Hiver,18,haut,9.07259581539256,3.817637822632605,0.0,0.0,-0.1530876124836773,-3.3498304576502247,-0.07287489044898621,9.053557686781572,3.7936981290848166,0.0,0.0,40.0,0.0,0.3122498993878825,0.0,0.9000000000098135,1.0,24.0,0.41675436909943486,0.9843027633755304,1.0,41.8519824803993,0.0,0.799819958997368,0.0,0.09380604457376537
avec,Hiver,0,depart,10.753582678786188,3.7774690892874787,0.0,0.0,-1.8076909394116425,-1.8076909394116425,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
avec,Hiver,0,gauche,8.915528777844884,3.0114166349849256,0.0,0.0,-1.8621106318212557e-10,-1.8076909394116425,0.7295990952318322,8.900470149451163,2.990224602629718,0.0,0.0,41.0,0.0,0.25015493861689864,0.0,0.9060243306482617,1.0,24.0,0.4044484271466461,0.9849937036400715,1.0,40.59351379934307,0.0,0.6484989447498024,0.0,0.07605851821139657
avec,Hiver,0,bas,10.711707218328229,0.8522183925579156,0.0,0.0,-1.7546477812782,-1.8076909394116425,2.927606284241264,10.65511784978536,0.7885294387112305,0.0,0.0,0.0,40.0,0.31224989971149947,0.0,0.9844550600203963,1.0999999999971828,21.0,0.4629712563522258,0.9897936948177088,1.0,46.6023637205417,0.0,2.1692436074733945,0.0,0.2544174601357685
avec,Hiver,0,droite,10.759218322058587,1.9824991748037064,0.0,0.0,-1.807690936733069,-1.8076909394116425,1.7926177508840868,10.708161023567536,1.9261169395642979,0.0,0.0,0.0,41.0,0.29572512769595816,0.0,0.9689432923676529,1.0444108138445676,21.0,0.46875429717613337,0.9875989871551486,1.0,47.18798272543373,0.0,1.838116109606759,0.0,0.2155815190279532
avec,Hiver,0,haut,8.971492682874668,3.817636113573826,0.0,0.0,-0.051990205137955874,-1.8076909394116425,-0.07287488623956417,8.95246029104704,3.7936981319256,0.0,0.0,40.0,0.0,0.3122498997576636,0.0,0.9000000000029849,1.0,24.0,0.4167543708040986,0.9843027633978688,1.0,41.85198261457095,0.0,0.7998199660478829,0.0,0.0938060454006776
