saison,heure,bus,load_mode,alpha,P_pv_available,Q_pv_max,S_inv_max,P_hp_max,P_load,Q_load
Été,18,33,fixed,1.0,0.0014381574511204897,0.03888960929842265,0.12454642678315134,-0.0141621305526262,-0.3943970181466459,-0.1910151939705562
Été,18,34,fixed,1.0,0.00040807241034266696,0.011042116083812966,0.03536307325204857,-0.004021122669456992,-0.1119830652981538,-0.05423587389139652
Été,18,35,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,36,fixed,1.0,0.000363615537245958,0.009798881566513724,0.03138153629201084,-0.003568383496727963,-0.099374864924701,-0.04812944374830847
Été,18,37,fixed,1.0,0.0009791885190602295,0.02638398772600381,0.08449638489162135,-0.009608054321330209,-0.2675718854901343,-0.1295909787760147
Été,18,38,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,39,fixed,1.0,0.0005377670908499594,0.01449337438298186,0.04641594564705656,-0.005277940916937997,-0.1469838278823458,-0.07118751689710238
Été,18,40,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,41,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,42,fixed,1.0,0.0007574879502029649,0.02041789455374394,0.06538959518955918,-0.007435427958686266,-0.2070670514336041,-0.100287150192891
Été,18,43,fixed,1.0,0.0013596907875145533,0.03664474447366771,0.11735710558455155,-0.013344635358030165,-0.3716308343510799,-0.1799890279155623
Été,18,44,fixed,1.0,0.001050627308995259,0.028309864959171635,0.09066412820766961,-0.010309386252827898,-0.2871030726576204,-0.1390503644549536
Été,18,45,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,46,fixed,1.0,0.0010541710594655154,0.02840510863042345,0.09096915207245306,-0.010344070409622302,-0.288068981562768,-0.1395181754889763
Été,18,47,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,48,fixed,1.0,0.00037270323070323874,0.010043607678658535,0.03216528710252375,-0.003657503526791417,-0.1018567424913252,-0.04933147191532575
