Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Switzerland,CHE,2024-01-13 16:00:00,2024-01-13 17:00:00,97.97
Switzerland,CHE,2024-01-13 17:00:00,2024-01-13 18:00:00,100.97
Switzerland,CHE,2024-01-13 18:00:00,2024-01-13 19:00:00,99.28
Switzerland,CHE,2024-01-13 19:00:00,2024-01-13 20:00:00,95.73
Switzerland,CHE,2024-01-13 20:00:00,2024-01-13 21:00:00,91.99
Switzerland,CHE,2024-01-13 21:00:00,2024-01-13 22:00:00,92.8
Switzerland,CHE,2024-01-13 22:00:00,2024-01-13 23:00:00,91.66
Switzerland,CHE,2024-01-13 23:00:00,2024-01-14 00:00:00,87.21
Switzerland,CHE,2024-01-14 00:00:00,2024-01-14 01:00:00,86.52
Switzerland,CHE,2024-01-14 01:00:00,2024-01-14 02:00:00,86.5
Switzerland,CHE,2024-01-14 02:00:00,2024-01-14 03:00:00,86.06
Switzerland,CHE,2024-01-14 03:00:00,2024-01-14 04:00:00,85.98
Switzerland,CHE,2024-01-14 04:00:00,2024-01-14 05:00:00,86.07
Switzerland,CHE,2024-01-14 05:00:00,2024-01-14 06:00:00,86.02
Switzerland,CHE,2024-01-14 06:00:00,2024-01-14 07:00:00,86.34
Switzerland,CHE,2024-01-14 07:00:00,2024-01-14 08:00:00,86.03
Switzerland,CHE,2024-01-14 08:00:00,2024-01-14 09:00:00,86.94
Switzerland,CHE,2024-01-14 09:00:00,2024-01-14 10:00:00,86.1
Switzerland,CHE,2024-01-14 10:00:00,2024-01-14 11:00:00,86.01
Switzerland,CHE,2024-01-14 11:00:00,2024-01-14 12:00:00,84.87
Switzerland,CHE,2024-01-14 12:00:00,2024-01-14 13:00:00,86.02
Switzerland,CHE,2024-01-14 13:00:00,2024-01-14 14:00:00,86.28
Switzerland,CHE,2024-01-14 14:00:00,2024-01-14 15:00:00,88.75
Switzerland,CHE,2024-01-14 15:00:00,2024-01-14 16:00:00,92.42
Switzerland,CHE,2024-01-14 16:00:00,2024-01-14 17:00:00,96.06
Switzerland,CHE,2024-01-14 17:00:00,2024-01-14 18:00:00,97.68
Switzerland,CHE,2024-01-14 18:00:00,2024-01-14 19:00:00,96.4
Switzerland,CHE,2024-01-14 19:00:00,2024-01-14 20:00:00,93.43
Switzerland,CHE,2024-01-14 20:00:00,2024-01-14 21:00:00,90.95
Switzerland,CHE,2024-01-14 21:00:00,2024-01-14 22:00:00,90.1
Switzerland,CHE,2024-01-14 22:00:00,2024-01-14 23:00:00,86.93
Switzerland,CHE,2024-01-14 23:00:00,2024-01-15 00:00:00,88.52
Switzerland,CHE,2024-01-15 00:00:00,2024-01-15 01:00:00,86.91
Switzerland,CHE,2024-01-15 01:00:00,2024-01-15 02:00:00,87.09
Switzerland,CHE,2024-01-15 02:00:00,2024-01-15 03:00:00,87.2
Switzerland,CHE,2024-01-15 03:00:00,2024-01-15 04:00:00,87.0
Switzerland,CHE,2024-01-15 04:00:00,2024-01-15 05:00:00,89.06
Switzerland,CHE,2024-01-15 05:00:00,2024-01-15 06:00:00,94.43
Switzerland,CHE,2024-01-15 06:00:00,2024-01-15 07:00:00,100.27
Switzerland,CHE,2024-01-15 07:00:00,2024-01-15 08:00:00,106.85
Switzerland,CHE,2024-01-15 08:00:00,2024-01-15 09:00:00,103.88
