Var1,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,grid_id,trafo,moved_from_water,cluster_area,r,g,b,size,geometry
1518,25,7.87753820801932,46.2498506098856,0,-1,False,8023220328,false,0.996732293885513,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.877538 46.249851)
1519,26,7.87704890801905,46.2487964098853,0,-1,False,9423708800,false,0.997117350040947,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.877049 46.248796)
1520,81,7.90005140804178,46.256081309883,0.33786219409166,NaN,True,1658338726,false,0.988802928987949,108_1,NaN,NaN,NaN,255,0,0,16.893109704583,POINT (7.900051 46.256081)
1521,27,7.8750478080185,46.2419550098824,0,-1,False,60130358,false,0.999439098307391,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.875048 46.241955)
1522,32,7.87520360801883,46.241241109882,0.143039890534393,NaN,True,2447898196,false,0.999796504325259,108_1,NaN,NaN,NaN,255,0,0,7.15199452671965,POINT (7.875204 46.241241)
1523,29,7.86924760801475,46.2315128098787,0,-1,False,60130383,false,0.995246912363495,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.869248 46.231513)
1524,30,7.86925260801492,46.2307882098784,0,-1,False,8950754966,false,0.995206223240173,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.869253 46.230788)
1525,31,7.87087110801603,46.2334437098793,0,-1,False,60166417,false,0.996521851110393,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.870871 46.233444)
1526,164,7.86963990100598,46.2298718577038,0.070994871758517,-1,True,NaN,false,0.995152234341798,108_1,NaN,NaN,NaN,255,0,0,3.54974358792585,POINT (7.86964 46.229872)
1527,37,7.87080103811111,46.2335183065275,0.0928524436480997,-1,True,NaN,false,0.996555244498945,108_1,NaN,NaN,NaN,255,0,0,4.64262218240498,POINT (7.870801 46.233518)
1528,33,7.87548890801926,46.2406909098817,0,-1,False,7417530341,true,1,108_1,NaN,NaN,NaN,105,204,164,196.747736991579,POINT (7.875489 46.240691)
1529,34,7.87397210801865,46.2363731098799,0,-1,False,2346113898,false,0.998629749299069,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.873972 46.236373)
1530,184,7.87348860801802,46.2368537098802,0.0886416664558743,NaN,True,3908398180,false,0.998618559549145,108_1,NaN,NaN,NaN,255,0,0,4.43208332279372,POINT (7.873489 46.236854)
1531,38,7.87066881640645,46.2338151741371,0.0989827082498491,-1,True,NaN,false,0.996637853424342,108_1,NaN,NaN,NaN,255,0,0,4.94913541249246,POINT (7.870669 46.233815)
1532,36,7.87125430801637,46.2336980098793,0.391938457734773,NaN,True,4226686876,false,0.99643079500809,108_1,NaN,NaN,NaN,255,0,0,19.5969228867387,POINT (7.871254 46.233698)
1533,177,7.88119930802762,46.2307913098753,0.23394685040625,NaN,True,9796616633,false,0.994491474547091,108_1,NaN,NaN,NaN,255,0,0,11.6973425203125,POINT (7.881199 46.230791)
1534,40,7.86389510800932,46.2303766098795,0,-1,False,8929268814,false,0.993604066359119,108_1,NaN,NaN,NaN,255,0,0,0,POINT (7.863895 46.230377)
